,comp_no_empl,tech_comp_flag,mh_coverage_flag,mh_coverage_awareness_flag,mh_employer_discussion,mh_resources_provided,mh_anonimity_flag,mh_medical_leave,mh_discussion_neg_impact,ph_discussion_neg_impact,mh_discussion_cowork,mh_discussion_supervis,mh_eq_ph_employer,mh_conseq_coworkers,prev_employers_flag,prev_mh_benefits,prev_mh_benefits_awareness,prev_mh_discussion,prev_mh_resources,prev_mh_anonimity,prev_mh_discuss_neg_conseq,prev_ph_discuss_neg_conseq,prev_mh_discussion_cowork,prev_mh_discussion_supervisor,prev_mh_importance_employer,prev_mh_conseq_coworkers,future_ph_specification,why/why_not,future_mh_specification,why/why_not2,mh_hurt_on_career,mh_neg_view_cowork,mh_sharing_friends/fam_flag,mh_bad_response_workplace,mh_family_hist,mh_disorder_past,mh_disorder_current,mh_diagnos_proffesional,mh_sought_proffes_treatm,mh_eff_treat_impact_on_work,mh_not_eff_treat_impact_on_work,age,sex,work_position,remote_flag
1313,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,If it were to impact my day-to-day job I would bring it up in the discussion. Otherwise I would wait to see how the environment of the company was about accepting less than perfect.,No,"It's instantly seen as a weakness, and then also an issue with your own mental state to discuss that weakness.","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,37,Female,Supervisor/Team Lead|Support|One-person shop|Designer|Front-end Developer|Sales,Always
1314,More than 1000,1.0,Yes,I am not sure,I don't know,Yes,Yes,Neither easy nor difficult,Yes,Yes,No,No,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,If I felt the issue would not interfere with my performance I would not bring it up. ,No,Without knowing the employer's stance in mental health issues I would be reluctant to do anything that might jeopardize the interview. ,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,44,Male,Support,Sometimes
1315,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,Fear of discrimination,No,Stigma,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,Often,45,Female,One-person shop|Designer|Support,Always
1316,1-5,1.0,I don't know,I am not sure,I don't know,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,1,Some did,I was aware of some,I don't know,Some did,Sometimes,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,Yes,Fear of discrimination,Maybe,I would be afraid they would let me go if they found out about any mental health issues I would have.,Maybe,Maybe,Neutral,No,I don't know,No,No,No,1,Not applicable to me,Not applicable to me,35,Female,Front-end Developer,Always
1317,26-100,1.0,Yes,Yes,Yes,Yes,Yes,I don't know,No,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Physical health issues are unlikely to impact tech work and should be easy to accommodate,No,"I don't know how a potential employer would react, and whether they would feel accommodating a mental health issue would be considered too difficult",Maybe,"No, I don't think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,39,Male,Back-end Developer,Never
1318,More than 1000,0.0,I don't know,I am not sure,I don't know,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,If it would impact my work in any way,Maybe,"Maybe, it's the stigma","Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,No,Yes,No,Yes,1,Not applicable to me,Not applicable to me,37,Female,Back-end Developer,Sometimes
1319,100-500,0.0,No,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,1,I don't know,I was aware of some,None did,None did,I don't know,None of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,If the physical health issue affected my ability to do the job yes I would. If not then I wouldn't. ,Maybe,If it applied I would consider it,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,Dev Evangelist/Advocate|DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer|One-person shop,Sometimes
1320,More than 1000,1.0,Yes,Yes,No,I don't know,Yes,Somewhat difficult,Yes,Maybe,No,No,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Fear of unintentional discrimination/negative bias,No,Fear of negative bias *and* no benefit in bringing it up ,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Not applicable to me,29,Female,Supervisor/Team Lead,Never
1321,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,Fear of discrimination,No,Stigma,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",I don't know,Yes,No,Yes,1,Sometimes,Often,49,Female,Other,Never
1322,26-100,1.0,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,I don't know,Some did,None of them,Maybe,"I'd probably mention it after I was hired, once I knew I was safe.",No,"It wouldn't be worth it in case it somehow did impact the hiring process. Again, it's something I'd rather bring up later or not at all.","Yes, I think it would",Maybe,Very open,No,I don't know,Yes,Yes,Yes,1,Rarely,Often,21,Male,Back-end Developer|Front-end Developer,Sometimes
1323,26-100,1.0,Yes,Yes,No,Yes,Yes,Very difficult,Yes,Maybe,Maybe,Maybe,No,No,1,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,I'm hard of hearing which is important to mutually understand in the interview process. Also is a good test of being accommodating or not. ,No,Stigma,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Maybe,Yes,1,Sometimes,Often,26,Female,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Sometimes
1324,100-500,1.0,Yes,I am not sure,Yes,No,Yes,Somewhat easy,No,No,Yes,Yes,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,Fear of discrimination,No,Stigma,Maybe,"No, I don't think they would",Neutral,No,Yes,Maybe,Maybe,Yes,1,Sometimes,Often,35,Male,Supervisor/Team Lead,Never
1325,100-500,0.0,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,Yes,No,1,"No, none did","No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,Wouldn't seem relevant that early. I would ask questions to get a feel for how accepting the company is. ,No,I would first observe and ask questions to get a feel for how open and accepting the company is. ,"No, it has not","No, I don't think they would",Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,1,Never,Often,56,Male,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
1326,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,"Yes, all of them",Maybe,"AT least at the places I have worked - IT in banking..it was a very macho hardass culture across the board. In nonprofit spots - the budgets were so tight everyone complained all the time and had it hard...not as hard as me with untreated ADHD, depression and anxiety...but hard. It should have come up in all previous workplaces but I never feel safe bringing it up. I freelance now so I can deal with structuring my own work hours etc...but, I am really really struggling both due to isolation and just...freelancing is a real grind. If I didn't have Obamacare I would be completely screwed. AS it is I am only semi screwed. ALSO  - what I wish you would ask in this survey is about caretaking. 
I am female in IT..and disabled. I take care of my elderly mother and my developmentally disabled brother. 
What NEVER gets discussed is who does the caretaking in families when someone breaks down or is unable to work...it's women, sisters, daughters, mothers... So PLEASE work caretaking survey questions into your surveys.

I can't just say it's about me...I'm under water because no one is helping with my brother or mother..least of all my father who died penniless after years on wall street making millions. He was ADHD too...and alcoholic and depressed...but, he was a ""master of the universe"" type doing IPOs for tech companies...and a ""liberatarian""... 

So yeah - please get more intersectional in how you survey this landscape. I'm screwed NOT just because of my disabilities...but my gender as well.

Sooo - this survey should have a ""Did we miss anything"" open question at the end. Two things. One - My ADHD is an asset when treated and understood...Also - When I finally got coverage at work 20 years ago...I was put on a med which I had a very bad reaction to - at work. Getting treated (after decades) ended up cratering my worklife for ten years or so. Wrong meds *really* messed me up - along with wrong DX. I couldn't be open about it. And then had a serious breakdown at work...and was fired immediately. No mercy. No understanding - I told them what was going on and I was gone. Because I wasn't well.. I couldn't defend myself. I became homeless for a while. I'm OK now...but it was a *mess* caused BY getting poor medical treatment for pretty run of the mill depression...I was in Silicon Valley at the time and over 30 and female. There was NO space for me to be anything less that 120% perfect as I was one of very few women working in SV at the time.",No, I don't want to poison the well... people are prejudiced and in denial about their own issues and vulnerabilities I find...I wish I felt differently...,"Yes, it has","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,53,Female,Other|Front-end Developer|Designer|One-person shop,Always
1327,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Maybe,depends,No,no way.  would never get the job,"Yes, I think it would","Yes, they do",Somewhat not open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Sometimes,Often,48,Female,Executive Leadership,Sometimes
1328,26-100,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Fear of discrimination,Maybe,Stigma,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,24,Male,Back-end Developer,Never
1329,More than 1000,1.0,No,I am not sure,No,No,I don't know,Somewhat easy,Yes,Maybe,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,It has nothing to do with the future job responsibilities ,No,Stigma,"Yes, it has",Maybe,Not open at all,Maybe/Not sure,No,Yes,Yes,No,0,Sometimes,Often,37,Male,Back-end Developer,Never
1330,26-100,0.0,No,Yes,No,No,I don't know,Very difficult,Yes,Maybe,Yes,Maybe,No,Yes,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,It may cause them to think I won't be able to perform at my job 100%.,No,Stigma.,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,Often,27,Female,Designer,Never
1331,1-5,1.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,It would depend on what the job duties were and how comfortable the person interviewing made me feel.,No,Some people dont take mental health serious and might think I am incapable of doing the job.,Maybe,"No, I don't think they would",Very open,No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,39,Female,Back-end Developer|Front-end Developer,Sometimes
1332,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Depends on relevancy to the job.,No,Stigma.,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,One-person shop|Designer|Front-end Developer|Support|Dev Evangelist/Advocate,Sometimes
1333,100-500,1.0,Yes,Yes,No,I don't know,I don't know,Very difficult,Yes,No,No,No,I don't know,No,1,Some did,"No, I only became aware later",Some did,Some did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,To make sure that appropriate accommodations could be made. ,No,Because they probably wouldn't hire me.,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,No,1,Not applicable to me,Often,34,Male,Back-end Developer|Front-end Developer,Always
1334,More than 1000,0.0,No,No,No,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Fear of discrimination,Maybe,I might be reluctant in an interview as there is still a bit of a stigma...,Maybe,Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Sometimes,33,Male,Front-end Developer,Sometimes
1335,1-5,1.0,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,No,No,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Worried about how they will look at me after,No,Cos I would really want the job they might get employ someone with mental health issues,"Yes, I think it would","Yes, I think they would",Not open at all,No,I don't know,Yes,Yes,No,0,Sometimes,Sometimes,22,Male,Front-end Developer,Never
1336,6-25,1.0,Not eligible for coverage / N/A,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,I don't know,None of them,Maybe,Fear of discrimination,Maybe,Stigma,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,25,Female,Front-end Developer|Supervisor/Team Lead,Sometimes
1337,More than 1000,0.0,I don't know,No,No,No,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Depends on potential impact on job,Maybe,Again relevancy - would it impact my work,Maybe,"No, I don't think they would",Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,Front-end Developer|Back-end Developer,Never
1338,6-25,1.0,Not eligible for coverage / N/A,No,No,No,I don't know,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,Yes,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,As it may inhibit my chances of getting the position.,No,It may inhibit my chances of getting the position.,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,30,Male,Front-end Developer,Sometimes
1339,26-100,1.0,No,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,it's important that a potential employer has a full idea of you as a potential employee to make an informed decision,Maybe,allowing the interviewer full disclosure to make an informed decision,Maybe,Maybe,Somewhat open,Maybe/Not sure,I don't know,Yes,Maybe,Yes,1,Sometimes,Sometimes,37,Male,Front-end Developer,Never
1340,6-25,1.0,No,No,No,No,No,Somewhat difficult,Yes,Maybe,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,No,I'd feel that it'd make me less apt for the job I'm applying in comparison to others.,No,I'd make me look weaker and less apt.,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,No,Yes,Yes,No,0,Not applicable to me,Sometimes,26,Male,Front-end Developer,Never
1341,More than 1000,0.0,Yes,Yes,Yes,Yes,I don't know,I don't know,No,No,Maybe,Yes,Yes,Yes,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,"Although I know in some places employers are not supposed to discriminate against candidates due to ability status, some still do. If and only if it were something that would require significant accommodations or if it was a visible disability, like a wheelchair, would I bring it up.",No,I would fear that I wouldn't get the job because people would see it as a burden that could lead to problems with my employment.,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,Yes,Maybe,Yes,1,Rarely,Sometimes,29,Female,Front-end Developer,Never
1342,6-25,1.0,No,No,I don't know,I don't know,No,Very difficult,Yes,No,Maybe,No,No,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,I fear of receiving negative responses,Maybe,Stigma,Maybe,"Yes, they do",Very open,"Yes, I observed",I don't know,No,No,No,1,Sometimes,Often,29,Male,Designer|Front-end Developer,Sometimes
1343,26-100,0.0,No,No,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,I don't know,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,I wouldn't want to attach a negative stigma to myself during an interview,No,I wouldn't want to attach a negative stigma to myself,Maybe,Maybe,Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,27,Male,Front-end Developer|Designer,Never
1344,6-25,0.0,No,No,No,No,I don't know,Neither easy nor difficult,Yes,No,No,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,Fear of discrimination,No,because i'd be scared they dismiss me politely ,"Yes, it has",Maybe,Somewhat open,No,Yes,Yes,No,Yes,1,Sometimes,Rarely,27,Female,Front-end Developer,Sometimes
1345,More than 1000,0.0,I don't know,No,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,Yes,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,"Deafness can be viewed as a physical health issue, and not many employers are willing to go out of their way to accommodate that.",Yes,It's important for the employer to know about my needs so they can accommodate them.,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,23,Male,Back-end Developer|Front-end Developer,Sometimes
1346,More than 1000,1.0,I don't know,Yes,No,Yes,Yes,Very easy,No,No,No,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,Some did,"Yes, always",None of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,"If it's going to impede my ability to work, sure",Maybe,"If it has an effect on my ability to do work, then yes. Otherwise, it's not their business","No, I don't think it would","No, I don't think they would",Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,24,Female,Front-end Developer,Sometimes
1347,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,It might affect my performance,Yes,It might affect my relationship with my co-workers,"No, I don't think it would","Yes, they do",Very open,No,I don't know,Yes,Yes,Yes,0,Sometimes,Sometimes,22,Male,Designer|Front-end Developer|Back-end Developer|Other,Sometimes
1348,1-5,0.0,No,No,No,No,No,Very easy,No,No,Yes,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Maybe,"As I don't suffer from anything particularly serious it's hard to imagine, but if I did I feel more as if I would be compelled to state this; as if it was likely to affect my ability to work I would want to be upfront about it. If it didn't affect my ability to work I might avoid mentioning it straight away to mitigate the chance of negative concequences",Maybe,See above,Maybe,"No, they do not",Somewhat open,No,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,28,Male,DevOps/SysAdmin|Front-end Developer|Back-end Developer|Support,Never
1349,6-25,0.0,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No,No,Maybe,No,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Yes,To be upfront about any time off,No,I think it would put me at risk of not getting the job.,"Yes, I think it would","Yes, I think they would",Neutral,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,22,Male,Front-end Developer|Designer,Never
1350,26-100,1.0,No,Yes,No,No,No,Somewhat easy,Maybe,Maybe,No,No,No,No,1,Some did,I was aware of some,None did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Fear of discrimination,Maybe,"It might reflect poorly on me as a candidate; all else being equal, it seems that an employer would want to hire a worker with no chronic mental health problems than one with chronic mental health problems.","Yes, I think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,32,Male,Front-end Developer,Sometimes
1351,6-25,1.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Yes,Maybe,I don't know,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,Bias towards something that may not be relevant to the work,Maybe,Bias/stigma,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,1,Rarely,Sometimes,35,Female,DevOps/SysAdmin,Always
1352,26-100,1.0,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,No,No,Yes,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,Yes,An employer should know any limitations you have.,Yes,"Same Answer, an employer deserves to know your limitations.","No, I don't think it would","No, I don't think they would",Somewhat not open,No,No,Yes,Yes,Yes,1,Sometimes,Sometimes,26,Male,Back-end Developer,Sometimes
1353,More than 1000,1.0,No,Yes,Yes,Yes,I don't know,Somewhat difficult,Yes,Yes,No,Maybe,No,No,1,"No, none did","No, I only became aware later",Some did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers",Some of my previous employers,None did,Some of them,No,they might think that i am not capable to work. I am also a migrant and this is adds up.,No,Employers don't offer jobs to people with mental health issues due to stigma,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",I don't know,No,Yes,Yes,1,Rarely,Often,31,Female,Front-end Developer,Sometimes
1354,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,If it would effect my performance,No,For fear of losing the job.,Maybe,"No, they do not",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,32,Male,Executive Leadership|Supervisor/Team Lead|Front-end Developer,Sometimes
1355,100-500,1.0,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,Some of my previous employers,"Yes, at all of my previous employers",None did,Some of them,No,Fear of negative impact on prospects of employment.,No,Fear of negative impact on prospects of employment.,"Yes, it has","Yes, I think they would",Somewhat open,No,I don't know,Yes,Maybe,Yes,1,Not applicable to me,Often,37,Male,Supervisor/Team Lead,Sometimes
1356,6-25,0.0,No,No,No,No,Yes,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Fear of discrimination,No,Stigma,Maybe,"No, I don't think they would",Somewhat not open,No,No,Yes,Yes,Yes,1,Never,Sometimes,24,Male,Front-end Developer|Back-end Developer,Never
1357,26-100,1.0,Yes,Yes,Yes,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,None of them,Yes,Fear of discrimination,Yes,Stigma,"No, I don't think it would","No, I don't think they would",Very open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,33,Male,Back-end Developer,Always
1358,100-500,1.0,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,Physical health has less of a stigma.,Maybe,"Some employers may be open to it, others are not.","No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,I don't know,No,Yes,Yes,1,Sometimes,Often,28,Male,DevOps/SysAdmin,Sometimes
1359,More than 1000,1.0,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,It may affect how I work,Maybe,It may affect how I work but the employer may not take it seriously depending on the illness,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,I don't know,Maybe,Maybe,No,1,Never,Sometimes,22,Female,Back-end Developer|Front-end Developer,Sometimes
1360,100-500,1.0,Not eligible for coverage / N/A,No,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,Would depend entirely on the attitude of the person on the other side of the table,No,Risk of a negative reaction,Maybe,"No, I don't think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,Maybe,Yes,1,Sometimes,Often,46,Male,Back-end Developer,Sometimes
1361,26-100,1.0,Yes,Yes,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,None did,None did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Fear of discrimination,Maybe,Stigma,Maybe,Maybe,Somewhat open,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,30,Male,Dev Evangelist/Advocate,Always
1362,26-100,1.0,I don't know,I am not sure,No,Yes,Yes,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,No,No,1,"No, none did",I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,None of them,No,Risk of discrimination,No,Risk of discrimination,Maybe,Maybe,Somewhat open,"Yes, I experienced",No,No,Yes,Yes,1,Often,Often,29,Male,Back-end Developer,Never
